Month,Revenue,Type
2010-12-01,570422.73,Historical
2011-01-01,568101.31,Historical
2011-02-01,446084.92,Historical
2011-03-01,594081.76,Historical
2011-04-01,468374.331,Historical
2011-05-01,677355.15,Historical
2011-06-01,660046.05,Historical
2011-07-01,598962.901,Historical
2011-08-01,644051.04,Historical
2011-09-01,950690.202,Historical
2011-10-01,1035642.45,Historical
2011-11-01,1156205.61,Historical
2011-12-01,517190.44,Historical
2012-01-01,637652.8468721606,Forecast
2012-02-01,680753.7912177651,Forecast
2012-03-01,696175.1284773996,Forecast
